sol-sniper-bot  | {"level":"info","mint":"iwanVbjjrhzxoRyGkKQiL7XyBdKdLMX3goAGBiKFaBL","buy_sol":0.1,"tip_sol":0.001,"time":1776070080029,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"332Cv8HBsLaHtkAr5ri7bEHtiPUGkCL95AnSakAbpump","buy_sol":0.1,"tip_sol":0.002568095,"time":1776070082152,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"8ym7YcFpucrv31sAR8FA3vnKhwAhyNjdokoogPCpump","buy_sol":0.1,"tip_sol":0.003061922,"time":1776070092088,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"91N5SgJVog74GfUknvik7ucmfBsKsXzohdWwYt8Spump","buy_sol":0.1,"tip_sol":0.001,"time":1776070124617,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"cqg16peYM7jL8R2ZgFKtMEP2uwdxqEXK2GzMUwhpump","buy_sol":0.1,"tip_sol":0.001095565,"time":1776070135495,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"H7JA3EsxmNHbKcLRR2FVEbfaHbTtra8MLJ6qi4WTpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070139149,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"EL2AkfGFeEgQcyzFMF3Tzm8Q7UNpsnNKmmHWcur7pump","buy_sol":0.1,"tip_sol":0.001,"time":1776070163974,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"BUPL1iiUgCM4EARbfLVSN6gz3hDQMhvdqRuE6A6Upump","buy_sol":0.1,"tip_sol":0.001481628,"time":1776070168110,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"2ob1s224tvT7AzbhtHqesKCdMxHt2BHxpToBxV2Rpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070169454,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"C5ta7QgjUNtdyLMrmWcEqWxfiZQ3f9nvxFKZFN5Spump","buy_sol":0.1,"tip_sol":0.001,"time":1776070174627,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"DQKUCW8Yu8vBghUd24nYzfZzHnduas4zM2coyScDpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070176763,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"6GtR43mGUucJ1h7WUAe4odkbaZ96LZpRAn1JCkzWpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070193602,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"5DWNGXhsLdQrhGusxVr8Tpur6mHCQLGsJvoM4CtBpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070232772,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"BaLuf1kmhHwU9xUw9mG6cAc5NWn8pvPxHeyjXRzXQ5xY","buy_sol":0.1,"tip_sol":0.001,"time":1776070235375,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"52q1BZrvZ64xyR5ULUB4WutVFJKTUvS5zJkYAWDQpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070248863,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"CmwAn1Ki482x8YUjjHg6S9TCpowamxFFq8QMRzmfpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070305771,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"3fCitft4t3Uhe91Zvc2aKz463eCaCY51dgLZZHa5pump","buy_sol":0.1,"tip_sol":0.001,"time":1776070312816,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"23nhuBn6ftVWVcSSEvPsB5ZkiXegupscCCTpRdrGpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070317522,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"7By4BqxJjJgZMrbvgPM7ckgZVN6rHkKWQ4BsrSRjpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070322254,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"DBQbSo8sTM7BQLQTHYjWJKKHgrYoADJRy7veyuhBpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070339915,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"CXp8BCcUqaheeKvhVWSA6VjhXKSLZn6iVWMuo7NSpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070347584,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"9z2mtQ61TNwsgrkqXECGFJRqNDutsXNQ3upDgB4oDytq","buy_sol":0.1,"tip_sol":0.001,"time":1776070366036,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"F14TUuZF45nesUSFg5hbdpDYsKuZHnzvvg6mwggUpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070412058,"message":"executor: [SIM] bundle skipped — simulation mode"}
